0,商品ID,书籍名称,书籍链接,价格,好评度,评论数,出版社,店家链接
263,11594079,《程序员思维修炼(修订版)》([美]Andy Hunt)【摘要 书评 试读】- 京东图书,//item.jd.com/11594079.html,41.7,98,700,人民邮电出版社,//ptpressjd.jd.com
264,11594082,《图灵程序设计丛书·Flask Web开发：基于Python的Web应用开发实战》([美]格林布戈（Miguel Grinberg）)【摘要 书评 试读】- 京东图书,//item.jd.com/11594082.html,50.2,98,2300,人民邮电出版社,//ptpressjd.jd.com
265,11595811,《图灵程序设计丛书：C#并发编程经典实例》([美]克利里（Stephen Cleary）)【摘要 书评 试读】- 京东图书,//item.jd.com/11595811.html,41.7,98,700,人民邮电出版社,//ptpressjd.jd.com
266,11597867,《软件开发自学视频教程：C语言自学视频教程地（附光盘）》【摘要 书评 试读】- 京东图书,//item.jd.com/11597867.html,55.8,97,14000,清华大学出版社,//mall.jd.com/index-1000004111.html
267,11598704,《Python编程（第4版 套装上下册）》([美]Mark Lutz（马克·卢茨）)【摘要 书评 试读】- 京东图书,//item.jd.com/11598704.html,156.4,98,17000,中国电力出版社,//mall.jd.com/index-1000005549.html
268,11599588,《Activiti实战》(闫洪磊)【摘要 书评 试读】- 京东图书,//item.jd.com/11599588.html,83.8,96,1100,机械工业出版社,//cmpbook.jd.com
269,11609574,《Linux Shell命令行及脚本编程实例详解》(刘艳涛)【摘要 书评 试读】- 京东图书,//item.jd.com/11609574.html,53.2,98,1600,清华大学出版社,//mall.jd.com/index-1000004111.html
270,11611045,《图灵程序设计丛书·日本Objective-C圣经级教材：Objective-C编程全解（第3版）》([日]荻原刚志)【摘要 书评 试读】- 京东图书,//item.jd.com/11611045.html,67.2,95,300,人民邮电出版社,//ptpressjd.jd.com
271,11611059,《ASP.NET Web API设计》([美]布洛克（Glenn Block），西布拉奥（Pablo Cibraro），等)【摘要 书评 试读】- 京东图书,//item.jd.com/11611059.html,84.2,97,400,人民邮电出版社,//ptpressjd.jd.com
272,11611761,《Visual C++ 2013入门经典（第7版）》([美]霍尔顿（Horton I.）)【摘要 书评 试读】- 京东图书,//item.jd.com/11611761.html,88.7,99,2100,清华大学出版社,//mall.jd.com/index-1000004111.html
273,11611762,《C#高级编程（第9版） C# 5.0 & .NET 4.5.1》([美]Christian Nagel，Jay Glynn，Morgan Skinner)【摘要 书评 试读】- 京东图书,//item.jd.com/11611762.html,131.6,97,4100,清华大学出版社,//mall.jd.com/index-1000004111.html
274,11612266,《Python游戏编程入门》([美]Jonathan S.Harbour)【摘要 书评 试读】- 京东图书,//item.jd.com/11612266.html,41.2,98,1900,人民邮电出版社,//ptpressjd.jd.com
275,11615002,《深入理解Scala》([美]苏瑞茨（Joshua D.Suereth）)【摘要 书评 试读】- 京东图书,//item.jd.com/11615002.html,46.5,96,700,人民邮电出版社,//ptpressjd.jd.com
276,11615429,《Java从入门到精通（第2版）》【摘要 书评 试读】- 京东图书,//item.jd.com/11615429.html,48.2,98,1500,人民邮电出版社,//ptpressjd.jd.com
277,11615442,《Visual Basic从入门到精通（第2版）》【摘要 书评 试读】- 京东图书,//item.jd.com/11615442.html,58.5,97,200,人民邮电出版社,//ptpressjd.jd.com
278,11615451,《算法问题实战策略》([韩]具宗万)【摘要 书评 试读】- 京东图书,//item.jd.com/11615451.html,101.2,97,100,人民邮电出版社,//ptpressjd.jd.com
279,11619195,《Java 8编程参考官方教程（第9版）》([美]Herbert Schildt)【摘要 书评 试读】- 京东图书,//item.jd.com/11619195.html,123.6,97,1000,清华大学出版社,//mall.jd.com/index-1000004111.html
280,11619201,《算法设计与分析基础（第3版）》([美]Anany Levitin)【摘要 书评 试读】- 京东图书,//item.jd.com/11619201.html,54.5,98,11000,清华大学出版社,//mall.jd.com/index-1000004111.html
281,11623556,《Struts2+Spring3+Hibernate框架技术精讲与整合案例（附光盘）》(缪勇，施俊，李新锋)【摘要 书评 试读】- 京东图书,//item.jd.com/11623556.html,89.1,96,400,清华大学出版社,//mall.jd.com/index-1000004111.html
282,11631886,《Java虚拟机精讲》(高翔龙)【摘要 书评 试读】- 京东图书,//item.jd.com/11631886.html,54.4,95,1900,电子工业出版社,//phei1982.jd.com
283,11641501,《Swift语言实战晋级》(老镇)【摘要 书评 试读】- 京东图书,//item.jd.com/11641501.html,66.2,93,300,人民邮电出版社,//ptpressjd.jd.com
284,11642508,《.NET框架设计 模式、配置、工具》(王清培)【摘要 书评 试读】- 京东图书,//item.jd.com/11642508.html,41.7,95,500,人民邮电出版社,//ptpressjd.jd.com
285,11642529,"《编程珠玑（第2版 修订版）》([美]乔恩·本特利（Jon,Bentley）)【摘要 书评 试读】- 京东图书",//item.jd.com/11642529.html,30.8,98,39000,人民邮电出版社,//ptpressjd.jd.com
286,11642532,《JavaScript面向对象编程指南（第2版）》([加拿大]Stoyan Stefanov，[印]Kumar Chetan Sharma)【摘要 书评 试读】- 京东图书,//item.jd.com/11642532.html,54.5,98,800,人民邮电出版社,//ptpressjd.jd.com
287,11644104,《图灵程序设计丛书：Node与Express开发》([美]Ethan Brown)【摘要 书评 试读】- 京东图书,//item.jd.com/11644104.html,58.7,97,700,人民邮电出版社,//ptpressjd.jd.com
288,11645599,《趣学Python：教孩子学编程》([美]Jason R.Briggs)【摘要 书评 试读】- 京东图书,//item.jd.com/11645599.html,49.6,99,12000,人民邮电出版社,//ptpressjd.jd.com
289,11649619,《Qt 5编程入门》(霍亚飞，程梁)【摘要 书评 试读】- 京东图书,//item.jd.com/11649619.html,42.3,95,500,北京航空航天大学出版社,//mall.jd.com/index-1000005516.html
290,11652636,《Boost程序库完全开发指南：深入C++“准”标准库（第3版）》(罗剑锋)【摘要 书评 试读】- 京东图书,//item.jd.com/11652636.html,78.2,97,700,电子工业出版社,//phei1982.jd.com
291,11654921,《Web GIS从基础到开发实践 基于ArcGIS API for JavaScript》(刘光，曾敬文，曾庆丰)【摘要 书评 试读】- 京东图书,//item.jd.com/11654921.html,70.2,97,400,清华大学出版社,//mall.jd.com/index-1000004111.html
292,11655699,《华章 OpenGL ES 3.0编程指南（原书第2版）》(Dan Ginsburg，Budi Purnomo，Dave Shreine)【摘要 书评 试读】- 京东图书,//item.jd.com/11655699.html,74.4,97,2900,机械工业出版社,//cmpbook.jd.com
293,11657095,《图灵原创：Learning hard C#学习笔记》(李志)【摘要 书评 试读】- 京东图书,//item.jd.com/11657095.html,41.7,97,600,人民邮电出版社,//ptpressjd.jd.com
294,11657099,《Python 3程序开发指南（第2版 修订版）》([美]萨默菲尔德（Mark Summerfield）)【摘要 书评 试读】- 京东图书,//item.jd.com/11657099.html,58,98,2000,人民邮电出版社,//ptpressjd.jd.com
295,11658911,《OpenCV3编程入门》(毛星云，冷雪飞，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11658911.html,62.4,98,3100,电子工业出版社,//phei1982.jd.com
296,11661917,《Arduino程序设计基础（第2版）》(陈吕洲)【摘要 书评 试读】- 京东图书,//item.jd.com/11661917.html,35.8,98,1200,北京航空航天大学出版社,//mall.jd.com/index-1000005516.html
297,11662266,《零基础学Python》(张志强，赵越，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11662266.html,62.2,96,800,机械工业出版社,//cmpbook.jd.com
298,11665188,《计算机科学丛书·多语自然语言处理：从原理到实践》【摘要 书评 试读】- 京东图书,//item.jd.com/11665188.html,78.2,98,500,机械工业出版社,//cmpbook.jd.com
299,11666310,《JavaScript基础教程（第9版）》([美]Dori Smith，Tom Negrino)【摘要 书评 试读】- 京东图书,//item.jd.com/11666310.html,58.7,97,300,人民邮电出版社,//ptpressjd.jd.com
300,11666319,《贝叶斯思维 统计建模的Python学习法》([美]Allen B.Downey)【摘要 书评 试读】- 京东图书,//item.jd.com/11666319.html,38.7,99,3100,人民邮电出版社,//ptpressjd.jd.com
301,11667512,《集体智慧编程》([美]Toby Segaran（托比·西格兰）)【摘要 书评 试读】- 京东图书,//item.jd.com/11667512.html,62.4,98,4000,电子工业出版社,//phei1982.jd.com
302,11668348,《LabVIEW 2013完全自学手册》(李静)【摘要 书评 试读】- 京东图书,//item.jd.com/11668348.html,59.5,94,200,化学工业出版社,//cip1953.jd.com
303,11670027,《算法的乐趣》(王晓华)【摘要 书评 试读】- 京东图书,//item.jd.com/11670027.html,67.2,98,28000,人民邮电出版社,//ptpressjd.jd.com
304,11670385,《51CTO学院系列丛书·实战Java虚拟机：JVM故障诊断与性能优化》(葛一鸣)【摘要 书评 试读】- 京东图书,//item.jd.com/11670385.html,62.3,95,1900,电子工业出版社,//phei1982.jd.com
305,11671874,《Java 学习笔记（第8版）》(林信良)【摘要 书评 试读】- 京东图书,//item.jd.com/11671874.html,54.4,97,1000,清华大学出版社,//mall.jd.com/index-1000004111.html
306,11673259,《Java 8函数式编程》([英]Richard Warburton)【摘要 书评 试读】- 京东图书,//item.jd.com/11673259.html,33.2,98,1900,人民邮电出版社,//ptpressjd.jd.com
307,11673283,《HTML5秘籍（第2版）》([美]Matthew MacDonald)【摘要 书评 试读】- 京东图书,//item.jd.com/11673283.html,75.7,97,200,人民邮电出版社,//ptpressjd.jd.com
308,11673931,《机器学习与R语言》([美]Brett Lantz)【摘要 书评 试读】- 京东图书,//item.jd.com/11673931.html,54.4,97,500,机械工业出版社,//cmpbook.jd.com
309,11675424,《Java Web整合开发王者归来+Java Web整合开发实战（套装共2册 附光盘）》(刘京华，贾蓓，镇明敏，杜磊，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11675424.html,159.6,94,6900,清华大学出版社,//mall.jd.com/index-1000004111.html
310,11676671,《图灵程序设计丛书：你不知道的JavaScript（上卷）》([美]辛普森（Kyle Simpson）)【摘要 书评 试读】- 京东图书,//item.jd.com/11676671.html,41.7,98,58000,人民邮电出版社,//ptpressjd.jd.com
311,11676683,《图灵程序设计丛书：程序是怎样跑起来的》([日]矢泽久雄)【摘要 书评 试读】- 京东图书,//item.jd.com/11676683.html,33.2,98,2200,人民邮电出版社,//ptpressjd.jd.com
312,11676691,《Python数据可视化编程实战》([爱尔兰]Igor Milovanovic)【摘要 书评 试读】- 京东图书,//item.jd.com/11676691.html,38.7,98,1100,人民邮电出版社,//ptpressjd.jd.com
313,11676692,《C++ Primer Plus（第6版）英文版（上下册）》([美]史蒂芬·普拉达（Stephen Prata）)【摘要 书评 试读】- 京东图书,//item.jd.com/11676692.html,100.9,98,400,人民邮电出版社,//ptpressjd.jd.com
314,11678536,《计算机科学丛书·数据结构、算法与应用：C++语言描述（原书第2版）》([美]萨特吉·萨尼（Sartaj Sahni）)【摘要 书评 试读】- 京东图书,//item.jd.com/11678536.html,59.9,98,2300,机械工业出版社,//cmpbook.jd.com
315,11679452,《Windows 程序设计（第3版）》(张铮，孙宝山，周天立)【摘要 书评 试读】- 京东图书,//item.jd.com/11679452.html,58.7,98,200,人民邮电出版社,//ptpressjd.jd.com
316,11680928,《计算机科学丛书：Python语言程序设计》([美]梁勇（Y.Daniel Liang）)【摘要 书评 试读】- 京东图书,//item.jd.com/11680928.html,62.3,98,400,机械工业出版社,//cmpbook.jd.com
317,11681561,"《Python Cookbook（第3版）中文版》([美]大卫·比斯利（David Beazley）,布莱恩·K.琼斯（Brian K.Jones）)【摘要 书评 试读】- 京东图书",//item.jd.com/11681561.html,85.3,98,3600,人民邮电出版社,//ptpressjd.jd.com
318,11684053,《微信公众平台搭建与开发揭秘（第2版）》(易伟)【摘要 书评 试读】- 京东图书,//item.jd.com/11684053.html,46.1,96,1100,机械工业出版社,//cmpbook.jd.com
319,11685549,《PADS 9.5电路设计与仿真从入门到精通》(耿立明，闫聪聪)【摘要 书评 试读】- 京东图书,//item.jd.com/11685549.html,49.6,95,200,人民邮电出版社,//ptpressjd.jd.com
320,11686346,"《精通Windows Server 2012 R2（第5版）》([美]Mark Minasi，[美]Kevin,Greene，[美]Christian Booth)【摘要 书评 试读】- 京东图书",//item.jd.com/11686346.html,140.4,98,1000,清华大学出版社,//mall.jd.com/index-1000004111.html
321,11686375,《JavaScript设计模式与开发实践》(曾探)【摘要 书评 试读】- 京东图书,//item.jd.com/11686375.html,50.2,98,58000,人民邮电出版社,//ptpressjd.jd.com
322,11687609,《Java入门123：一个老鸟的Java学习心得（二维码版）》(臧萌，鲍凯)【摘要 书评 试读】- 京东图书,//item.jd.com/11687609.html,63.8,99,1400,清华大学出版社,//mall.jd.com/index-1000004111.html
323,11688195,《高性能网站建设指南：前端工程师技能精髓》([美]Steve Souders（史蒂夫.桑德斯）)【摘要 书评 试读】- 京东图书,//item.jd.com/11688195.html,43.2,98,1600,电子工业出版社,//phei1982.jd.com
324,11689740,《Java EE 7权威指南：卷1（原书第5版）》([美]埃里克·珍兆科（Eric Jendrock），里卡多·塞维拉-纳瓦罗，伊恩·埃文斯，金姆·哈泽，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11689740.html,76.9,98,40000,机械工业出版社,//cmpbook.jd.com
325,11689962,《Final Cut Pro X 10.1非线性编辑高级教程（全彩）》([美]布兰登 博伊金（Brendan Boykin）)【摘要 书评 试读】- 京东图书,//item.jd.com/11689962.html,77.3,97,1000,电子工业-艺术摄影,//mall.jd.com/index-1000077369.html
326,11691853,《C++并发编程实战》([美]Anthony Williams（威廉姆斯）)【摘要 书评 试读】- 京东图书,//item.jd.com/11691853.html,74.8,96,1100,人民邮电出版社,//ptpressjd.jd.com
327,11693895,《C/C++技术丛书：高级C/C++编译技术》([美]米兰·斯特瓦诺维奇（Milan Stevanovic）)【摘要 书评 试读】- 京东图书,//item.jd.com/11693895.html,54.5,97,400,机械工业出版社,//cmpbook.jd.com
328,11695859,《微信公众平台开发最佳实践（第2版）》(方倍工作室)【摘要 书评 试读】- 京东图书,//item.jd.com/11695859.html,64.9,96,2800,机械工业出版社,//cmpbook.jd.com
329,11697726,《MATLAB统计分析与应用：40个案例分析（第2版）》(谢中华)【摘要 书评 试读】- 京东图书,//item.jd.com/11697726.html,52.1,98,8900,北京航空航天大学出版社,//mall.jd.com/index-1000005516.html
330,11699746,《统计学习导论 基于R应用》([美]加雷斯·詹姆斯，丹妮拉·威滕，特雷弗·哈斯帖，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11699746.html,61.6,99,3800,机械工业出版社,//cmpbook.jd.com
331,11701869,《Java核心技术系列：Java多线程编程核心技术》(高洪岩)【摘要 书评 试读】- 京东图书,//item.jd.com/11701869.html,64.9,98,40000,机械工业出版社,//cmpbook.jd.com
332,11701870,《华章原创精品·深入应用C++11：代码优化与工程级应用》(祁宇)【摘要 书评 试读】- 京东图书,//item.jd.com/11701870.html,74.4,98,13000,机械工业出版社,//cmpbook.jd.com
333,11706272,《Java核心技术系列：Java编程指南》([美]布迪·克尼亚万（Budi Kurniawan）)【摘要 书评 试读】- 京东图书,//item.jd.com/11706272.html,81.7,97,100,机械工业出版社,//cmpbook.jd.com
334,11709999,《Node.js+MongoDB+AngularJS Web开发》(Brad Dayley（布拉德·德雷）)【摘要 书评 试读】- 京东图书,//item.jd.com/11709999.html,85.1,97,1300,电子工业出版社,//phei1982.jd.com
335,11712406,《树莓派 Raspberry Pi 实战指南：手把手教你掌握100个精彩案例》(柯博文)【摘要 书评 试读】- 京东图书,//item.jd.com/11712406.html,70.2,96,800,清华大学出版社,//mall.jd.com/index-1000004111.html
336,11714602,《ZeroC Ice权威指南》(Leader-us)【摘要 书评 试读】- 京东图书,//item.jd.com/11714602.html,48.2,96,300,电子工业出版社,//phei1982.jd.com
337,11721256,《Windows程序设计 第6版 /微软技术丛书》([美]Charles Petzold)【摘要 书评 试读】- 京东图书,//item.jd.com/11721256.html,113.8,98,400,清华大学出版社,//mall.jd.com/index-1000004111.html
338,11723139,《零基础学Python（图文版）》([英]Craig　Richardson)【摘要 书评 试读】- 京东图书,//item.jd.com/11723139.html,57.8,99,300,人民邮电出版社,//ptpressjd.jd.com
339,11723338,《Java Web高级编程：涵盖WebSockets、Spring Framework、JPA》([美]Nicholas S.Williams)【摘要 书评 试读】- 京东图书,//item.jd.com/11723338.html,88.7,97,900,清华大学出版社,//mall.jd.com/index-1000004111.html
340,11723352,"《Web设计与前端开发秘籍：JavaScript & jQuery 交互式Web前端开发》([美]达科特（Duckett,J）)【摘要 书评 试读】- 京东图书",//item.jd.com/11723352.html,70.9,99,2400,清华大学出版社,//mall.jd.com/index-1000004111.html
341,11728304,《产品设计与开发（原书第5版）》([美]卡尔 T.乌利齐（Karl T. Ulrich），[美]史蒂文 D.埃平格（Steven D. Eppinger）)【摘要 书评 试读】- 京东图书,//item.jd.com/11728304.html,80,98,1300,机械工业出版社,//cmpbook.jd.com
342,11728617,《推荐系统：技术、评估及高效算法》【摘要 书评 试读】- 京东图书,//item.jd.com/11728617.html,130.8,98,1100,机械工业出版社,//cmpbook.jd.com
343,11728740,《重构 改善既有代码的设计 》([美]马丁·福勒（Martin Fowler）)【摘要 书评 试读】- 京东图书,//item.jd.com/11728740.html,54.5,98,39000,人民邮电出版社,//ptpressjd.jd.com
344,11736483,《JavaScript函数式编程》([美]Michael Fogus)【摘要 书评 试读】- 京东图书,//item.jd.com/11736483.html,41.2,98,1200,人民邮电出版社,//ptpressjd.jd.com
345,11737504,《图解数据结构：使用Java》(胡昭民)【摘要 书评 试读】- 京东图书,//item.jd.com/11737504.html,43.6,96,300,清华大学出版社,//mall.jd.com/index-1000004111.html
346,11740734,《Java并发编程的艺术 》(方腾飞，魏鹏，程晓明)【摘要 书评 试读】- 京东图书,//item.jd.com/11740734.html,55.5,97,30000,机械工业出版社,//cmpbook.jd.com
347,11740744,《软件架构师的12项修炼：技术技能篇》([美]戴维·亨德里克森（Dave Hendricksen）)【摘要 书评 试读】- 京东图书,//item.jd.com/11740744.html,55.5,97,400,机械工业出版社,//cmpbook.jd.com
348,11740749,《SAP ABAP开发详解与高端应用》(孙东文，郭欢，张岩，等)【摘要 书评 试读】- 京东图书,//item.jd.com/11740749.html,54.5,96,2200,机械工业出版社,//cmpbook.jd.com
349,11741166,《Java语言程序设计（基础篇 原书第10版）》([美]梁勇（Y.Daniel Liang）)【摘要 书评 试读】- 京东图书,//item.jd.com/11741166.html,67.1,98,3700,机械工业出版社,//cmpbook.jd.com
350,11742255,《Ruby元编程（第2版）》(Paolo Perrotta)【摘要 书评 试读】- 京东图书,//item.jd.com/11742255.html,54.3,98,5600,华中科技大学出版社,//hustp.jd.com
351,11742624,《ARM体系结构与编程（第2版）》(杜春雷)【摘要 书评 试读】- 京东图书,//item.jd.com/11742624.html,44.3,97,500,清华大学出版社,//mall.jd.com/index-1000004111.html
352,11744199,《最优化计算方法及其MATLAB程序实现》(马昌凤，柯艺芬，谢亚君)【摘要 书评 试读】- 京东图书,//item.jd.com/11744199.html,30.8,98,400,国防工业出版社,//mall.jd.com/index-1000014109.html
353,11744230,《复杂网络算法与应用》(孙玺菁，司守奎)【摘要 书评 试读】- 京东图书,//item.jd.com/11744230.html,31.4,98,500,国防工业出版社,//mall.jd.com/index-1000014109.html
354,11745024,《AngularJS高级程序设计》([美]Adam Freeman（弗里曼）)【摘要 书评 试读】- 京东图书,//item.jd.com/11745024.html,78.2,96,2400,人民邮电出版社,//ptpressjd.jd.com
355,11746756,《PHP经典实例（第3版）》([美]David Sklar，[美]Adam Trachtenberg)【摘要 书评 试读】- 京东图书,//item.jd.com/11746756.html,104,99,2400,中国电力出版社,//mall.jd.com/index-1000005549.html
356,11747684,《JavaScript设计模式》(张容铭)【摘要 书评 试读】- 京东图书,//item.jd.com/11747684.html,46.6,98,58000,人民邮电出版社,//ptpressjd.jd.com
357,11748488,《C++游戏编程入门（第4版）》([美]道森（Michael Dawson）)【摘要 书评 试读】- 京东图书,//item.jd.com/11748488.html,46.5,97,600,人民邮电出版社,//ptpressjd.jd.com
358,11748995,《Python 黑帽子：黑客与渗透测试编程之道》([美]Justin Seitz（贾斯汀·塞茨）)【摘要 书评 试读】- 京东图书,//item.jd.com/11748995.html,42.3,98,9900,电子工业出版社,//phei1982.jd.com
359,11751765,《C++程序设计题解与上机指导（第3版）》(谭浩强)【摘要 书评 试读】- 京东图书,//item.jd.com/11751765.html,29.3,98,800,清华大学出版社,//mall.jd.com/index-1000004111.html
360,11753239,《Verilog HDL数字设计与综合（第二版 本科教学版）》([美]Samir Palnitkar（S·帕尔尼卡）)【摘要 书评 试读】- 京东图书,//item.jd.com/11753239.html,41,98,200,电子工业出版社,//phei1982.jd.com
361,11753276,《架构探险：从零开始写Java Web框架》(黄勇)【摘要 书评 试读】- 京东图书,//item.jd.com/11753276.html,61.3,97,7300,电子工业出版社,//phei1982.jd.com
362,11754085,《Web全栈工程师的自我修养》(余果)【摘要 书评 试读】- 京东图书,//item.jd.com/11754085.html,38.6,97,1000,人民邮电出版社,//ptpressjd.jd.com
363,11755539,《C++程序设计（第3版）》(谭浩强)【摘要 书评 试读】- 京东图书,//item.jd.com/11755539.html,42.1,98,22000,清华大学出版社,//mall.jd.com/index-1000004111.html
364,11755693,《高性能JavaScript》(Nicholas C. Zakas（尼古拉斯·泽卡斯）)【摘要 书评 试读】- 京东图书,//item.jd.com/11755693.html,50.9,98,2900,电子工业出版社,//phei1982.jd.com
365,11757023,《U一点 料：阿里巴巴1688UED体验设计践行之路》(阿里巴巴1688用户体验部)【摘要 书评 试读】- 京东图书,//item.jd.com/11757023.html,74.4,98,17000,机械工业出版社,//cmpbook.jd.com
366,11757791,《软件测试技术大全 测试基础 流行工具 项目实战(第3版)》(陈能技，黄志国)【摘要 书评 试读】- 京东图书,//item.jd.com/11757791.html,54.4,96,400,人民邮电出版社,//ptpressjd.jd.com
367,11757858,《洞察用户体验：方法与实践（第2版）》([美]Elizabeth Goodman，[美]Mike Kuniavsky，[美]Andrea Moed)【摘要 书评 试读】- 京东图书,//item.jd.com/11757858.html,79.1,99,600,清华大学出版社,//mall.jd.com/index-1000004111.html
368,11757874,《Java WebSocket编程 开发、部署和保护动态Web应用》([美]Danny Coward)【摘要 书评 试读】- 京东图书,//item.jd.com/11757874.html,31.2,96,500,清华大学出版社,//mall.jd.com/index-1000004111.html
369,11757916,《Objective-C编程（第2版）》(Aaron Hillegass，Mikey Ward)【摘要 书评 试读】- 京东图书,//item.jd.com/11757916.html,60.5,98,2700,华中科技大学出版社,//hustp.jd.com
370,11758543,《C#项目开发实战密码/赢在项目开发（附光盘）》(扶松柏)【摘要 书评 试读】- 京东图书,//item.jd.com/11758543.html,59.3,97,100,清华大学出版社,//mall.jd.com/index-1000004111.html
371,11761109,《Java入门经典（第7版）》([美]罗格斯·卡登海德（Rogers Cadenhead）)【摘要 书评 试读】- 京东图书,//item.jd.com/11761109.html,38.6,97,300,人民邮电出版社,//ptpressjd.jd.com
372,11761713,《安全之路：Web渗透技术及实战案例解析（第2版）》(陈小兵)【摘要 书评 试读】- 京东图书,//item.jd.com/11761713.html,77.9,97,11000,电子工业出版社,//phei1982.jd.com
373,11762844,《深度实践KVM：核心技术、管理运维、性能优化与项目实施》(肖力，汪爱伟，杨俊俊，赵德禄)【摘要 书评 试读】- 京东图书,//item.jd.com/11762844.html,89.4,97,700,机械工业出版社,//cmpbook.jd.com
374,11763003,《实战Gradle》([美]Benjamin Muschko（本杰明·马斯可）)【摘要 书评 试读】- 京东图书,//item.jd.com/11763003.html,70.2,97,900,电子工业出版社,//phei1982.jd.com
375,11763016,《Spark机器学习》([南非]彭特里思（Nick Pentreath）)【摘要 书评 试读】- 京东图书,//item.jd.com/11763016.html,50.2,98,7800,人民邮电出版社,//ptpressjd.jd.com
376,11765456,《SAP 销售与分销模块定价完全实施手册》(金艋)【摘要 书评 试读】- 京东图书,//item.jd.com/11765456.html,101.9,96,2200,机械工业出版社,//cmpbook.jd.com
377,11765678,《统计思维：程序员数学之概率统计（第2版）》([美]唐尼（Allen B. Downey）)【摘要 书评 试读】- 京东图书,//item.jd.com/11765678.html,41.7,99,5400,人民邮电出版社,//ptpressjd.jd.com
378,11766850,《C++入门经典（第4版）》([美]霍尔顿（Ivor Horton）)【摘要 书评 试读】- 京东图书,//item.jd.com/11766850.html,62.8,99,1900,清华大学出版社,//mall.jd.com/index-1000004111.html
379,11770838,《程序员代码面试指南：IT名企算法与数据结构题目最优解》(左程云)【摘要 书评 试读】- 京东图书,//item.jd.com/11770838.html,60.9,98,3600,电子工业出版社,//phei1982.jd.com
380,11771007,《程序员的数学2 概率统计》([日]平冈和幸，堀玄)【摘要 书评 试读】- 京东图书,//item.jd.com/11771007.html,67.2,99,6200,人民邮电出版社,//ptpressjd.jd.com
381,11772823,《Java程序员面试宝典（第4版）》(欧立奇，朱梅，段韬)【摘要 书评 试读】- 京东图书,//item.jd.com/11772823.html,42.1,98,26000,电子工业出版社,//phei1982.jd.com
382,11776108,《HTML 5与CSS 3权威指南（第3版 下册）》(陆凌牛)【摘要 书评 试读】- 京东图书,//item.jd.com/11776108.html,64.9,96,2000,机械工业出版社,//cmpbook.jd.com
383,11776111,《HTML 5与CSS 3权威指南（第3版 上册）》(陆凌牛)【摘要 书评 试读】- 京东图书,//item.jd.com/11776111.html,83.8,96,2000,机械工业出版社,//cmpbook.jd.com
384,11778251,《Node.js实战（第2季）》(吴中骅，雷宗民，赵坤，刘亚中)【摘要 书评 试读】- 京东图书,//item.jd.com/11778251.html,46.5,97,700,电子工业出版社,//phei1982.jd.com
385,11781659,《ASP.NET MVC5网站开发之美》(demo，小朱，陈传兴，王育民，陈仕杰)【摘要 书评 试读】- 京东图书,//item.jd.com/11781659.html,113.8,97,300,清华大学出版社,//mall.jd.com/index-1000004111.html
386,11782782,《西门子PLC高级应用实例精解（第2版）/电气信息工程丛书》【摘要 书评 试读】- 京东图书,//item.jd.com/11782782.html,46.8,97,800,机械工业出版社,//cmpbook.jd.com
387,11783868,《SVG精髓（第2版）》([美]艾森伯格（J.David Eisenberg）[加]贝拉米-罗伊斯（Amelia Bellamy-Royds）)【摘要 书评 试读】- 京东图书,//item.jd.com/11783868.html,58.7,98,300,人民邮电出版社,//ptpressjd.jd.com
388,11783873,《Python Web开发 测试驱动方法》([英]珀西瓦尔（Harry J.W.Percival）)【摘要 书评 试读】- 京东图书,//item.jd.com/11783873.html,84.2,98,600,人民邮电出版社,//ptpressjd.jd.com
389,11784708,《UG NX 10.0数控编程教程》【摘要 书评 试读】- 京东图书,//item.jd.com/11784708.html,29.2,95,900,机械工业出版社,//cmpbook.jd.com
390,11785190,《Java多线程编程实战指南（设计模式篇）》(黄文海)【摘要 书评 试读】- 京东图书,//item.jd.com/11785190.html,46.5,98,4800,电子工业出版社,//phei1982.jd.com
391,11785233,《Simulink仿真及代码生成技术入门到精通》(孙忠潇（Hyowinner）)【摘要 书评 试读】- 京东图书,//item.jd.com/11785233.html,53,98,4000,北京航空航天大学出版社,//mall.jd.com/index-1000005516.html
392,11785503,《ARM Cortex-M3与Cortex-M4权威指南（第3版）》(Joseph Yiu)【摘要 书评 试读】- 京东图书,//item.jd.com/11785503.html,79.1,98,900,清华大学出版社,//mall.jd.com/index-1000004111.html
393,11785512,《微信公众平台应用开发从入门到精通》(闫小坤，周涛)【摘要 书评 试读】- 京东图书,//item.jd.com/11785512.html,61.3,96,600,清华大学出版社,//mall.jd.com/index-1000004111.html
394,11786541,《Modern PHP（中文版）》([美]Josh Lockhart（乔希·洛克哈特）)【摘要 书评 试读】- 京东图书,//item.jd.com/11786541.html,29.3,99,2800,中国电力出版社,//mall.jd.com/index-1000005549.html
395,11786791,《编程之法：面试和算法心得》(July)【摘要 书评 试读】- 京东图书,//item.jd.com/11786791.html,41.2,98,39000,人民邮电出版社,//ptpressjd.jd.com
396,11789488,《Spring入门经典》(Mert Caliskan，Kenan Sevindik)【摘要 书评 试读】- 京东图书,//item.jd.com/11789488.html,47.8,98,400,清华大学出版社,//mall.jd.com/index-1000004111.html
